record_id,timestamp_utc,step_id,artifact_type,artifact_id,version_id,parent_version_id,status,run_id,code_version_id,data_version_id,config_sha256,environment_sha256,sha256,path,notes
VER-00D-TEMPLATE,2026-09-19T15:43:00Z,00-D,official_word_template,TEMPLATE-00D,TEMPLATE-2381f21f0ae471c0,,frozen_source,run_00-D_20260919T154254724640Z_201f7b70_2bed85de,CODE-1f4007a144fb8318,TEMPLATE-2381f21f0ae471c0,d1e9cb7ae792d25a51e40a00e1e2900c2ca27e990c951a5d403c6f02df042ed6,f0d8363ffed06d4320b7ec9b68a450ef3b308d3278e93bcdeac70f358852ab1e,2381f21f0ae471c0ddfff96f45feac4abc18c8dc4178b3f68a291803785dd11a,user-upload:/第二十一届华为杯研赛论文Word标准模板(1).docx,官方最高格式母版；实际读取并用于复制生成V0.1
VER-00D-WORD-V01,2026-09-19T15:43:00Z,00-D,paper_word_mother_draft,LATEST_WORD,WORD-V0.1-eb4a5f0a,TEMPLATE-2381f21f0ae471c0,frozen,run_00-D_20260919T154254724640Z_201f7b70_2bed85de,CODE-1f4007a144fb8318,TEMPLATE-2381f21f0ae471c0,d1e9cb7ae792d25a51e40a00e1e2900c2ca27e990c951a5d403c6f02df042ed6,f0d8363ffed06d4320b7ec9b68a450ef3b308d3278e93bcdeac70f358852ab1e,eb4a5f0aadc03c7a96ae626f2288378773172d048c672ed74dd74fc3b127da55,/数学建模/00D/2025华为杯E题论文_母稿_V0.1.docx,唯一论文母稿；后续B步骤仅在此母稿链上增量修改
VER-00D-FORMAT,2026-09-19T15:43:00Z,00-D,format_master,FORMAT-MASTER-00D,FORMAT-00D-r1,TEMPLATE-2381f21f0ae471c0,frozen,run_00-D_20260919T154254724640Z_201f7b70_2bed85de,CODE-1f4007a144fb8318,TEMPLATE-2381f21f0ae471c0,d1e9cb7ae792d25a51e40a00e1e2900c2ca27e990c951a5d403c6f02df042ed6,f0d8363ffed06d4320b7ec9b68a450ef3b308d3278e93bcdeac70f358852ab1e,,/数学建模/00D/论文格式母版_00D.md,由官方模板真实OOXML与渲染结果提取
VER-00D-STYLE,2026-09-19T15:43:00Z,00-D,style_index,STYLE-INDEX-00D,STYLE-00D-r1,TEMPLATE-2381f21f0ae471c0,frozen,run_00-D_20260919T154254724640Z_201f7b70_2bed85de,CODE-1f4007a144fb8318,TEMPLATE-2381f21f0ae471c0,d1e9cb7ae792d25a51e40a00e1e2900c2ca27e990c951a5d403c6f02df042ed6,f0d8363ffed06d4320b7ec9b68a450ef3b308d3278e93bcdeac70f358852ab1e,,/数学建模/00D/格式样式索引_00D.csv,Word样式名→用途→来源索引
VER-01B-WORD-V02,2026-09-19T16:11:01.132580Z,01-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.2-6267e371,WORD-V0.1-eb4a5f0a,validated,run_01-B_20260919T161101132580Z_f5b4c3cb_d2885e53,CODE-ca1f354807ca3730,RAW-5a5dd129c91bfc64,f79531a413d2214737fa6966887017f7de935032c35d1ab06365fb68c49e2f2b,d1d86f8e8237bed45219994e3a0ec72de7cc01fea08ace3643829564085073bf,6267e3715abb3243a49ace14339475b4f28b6d476d66a1b7ef3f8953a263d795,/数学建模/01B/2025华为杯E题论文_步骤01_V0.2.docx,仅基于通过的01-A冻结结果在V0.1母稿上增量回写；未训练、未调参
VER-01B-DELIVERY,2026-09-19T16:11:01.132580Z,01-B,B_delivery,B-DELIVERY-01B,BDEL-01B-30870887,WORD-V0.2-6267e371,validated,run_01-B_20260919T161101132580Z_f5b4c3cb_d2885e53,CODE-ca1f354807ca3730,RAW-5a5dd129c91bfc64,f79531a413d2214737fa6966887017f7de935032c35d1ab06365fb68c49e2f2b,d1d86f8e8237bed45219994e3a0ec72de7cc01fea08ace3643829564085073bf,308708875f965fc16456fec6a9b685d033fbb69111da47b6064c972d2049337f,/数学建模/01B/B_delivery_01B.json,记录本步变更、受影响账目与验证
VER-02B-WORD-V03,2026-09-19T16:31:46.907490Z,02-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.3-f960cde0,WORD-V0.2-6267e371,validated,run_02-B_20260919T163146907490Z_594b5a82_6db67e3f,CODE-2946f3170eb31bce,FREEZE-02A-f9ed0ecc404eb961,a8131102d8c312fe9acf06abe2587aa4db0b1e76e0e4fe80a876fd6850e9663d,03d13ebd8fdc9f827be7c2a10dcbdce535a3855525b28202b7c52313dbf4baa3,f960cde0421d35b42232f25c06f09e8977a9cd7d5c6d81818c06d4a78303a7de,/数学建模/02B/2025华为杯E题论文_步骤02_V0.3.docx,仅基于通过的02-A冻结包在V0.2母稿上增量回写；新增1张单图和3张表；未训练/调参
VER-02B-DELIVERY,2026-09-19T16:31:46.907490Z,02-B,B_delivery,B-DELIVERY-02B,BDEL-02B-9a124cd4,WORD-V0.3-f960cde0,validated,run_02-B_20260919T163146907490Z_594b5a82_6db67e3f,CODE-2946f3170eb31bce,FREEZE-02A-f9ed0ecc404eb961,a8131102d8c312fe9acf06abe2587aa4db0b1e76e0e4fe80a876fd6850e9663d,03d13ebd8fdc9f827be7c2a10dcbdce535a3855525b28202b7c52313dbf4baa3,9a124cd43f3ae27868428780c79b5542760bbf5990ad9325a9b500b5b3c63d5d,/数学建模/02B/B_delivery_02B.json,记录02-A筛选结果的论文回写、图表追溯与Word持久性验证
VER-03B-WORD-V04,2026-09-19T17:25:39Z,03-B,paper_word_mother_draft,LATEST_WORD,WORD-V0.4-ddc7abf1,WORD-V0.3-f960cde0,validated,run_03-B_20260919T172539034521Z_69947ed7_6f3e2e9b,CODE-8bf4b237e58586d1,FREEZE-03A-19705684bfd3fd7a,0a8e1d9d6e76282e7fa04ab1dd75b8585ebe8b43d129f7f6196e2add14b05d35,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,ddc7abf1e63a1ef9de26f7be23830a80c07cdc7795317cd1a1fbdab32a23b4ef,/数学建模/03B/2025华为杯E题论文_步骤03_V0.4.docx,仅基于通过的03-A冻结包在V0.3母稿上增量回写；新增2张图、3张表、5个OMML公式；未训练/调参/选模
VER-03B-DELIVERY,2026-09-19T17:25:39Z,03-B,B_delivery,B-DELIVERY-03B,BDEL-03B-2fa6e21f,WORD-V0.4-ddc7abf1,validated,run_03-B_20260919T172539034521Z_69947ed7_6f3e2e9b,CODE-8bf4b237e58586d1,FREEZE-03A-19705684bfd3fd7a,0a8e1d9d6e76282e7fa04ab1dd75b8585ebe8b43d129f7f6196e2add14b05d35,a2b2756b2bf58e499ace87efcddacfb64ef7398aae81a1664fbb476fc578f369,2fa6e21f49850dee6bbb40f839fbce67ee04f40108e50e62c7e008ccd01f7d13,/数学建模/03B/B_delivery_03B.json,记录03-A信号处理/故障机理结果的论文回写、图表追溯、公式口径与Word持久性验证
